num_demands,seed,state,demand_id,bandwidth,ip_source,ip_target,optical_source,optical_target,ip_path,optical_mapped_path,ip_link_lightpaths
2,2042,initial,d0,49,2,4,4,6,2 -> 3 -> 1 -> 5 -> 4,4 -> 9 -> 0 -> 5 -> 6,"IP 2->3 maps OPT 4->9: LP#0: 4 -> 8 -> 1 -> 5 -> 9 [slot=0-0, slots=1] | IP 3->1 maps OPT 9->0: LP#1: 9 -> 6 -> 2 -> 4 -> 0 [slot=0-0, slots=1] | IP 1->5 maps OPT 0->5: LP#2: 0 -> 4 -> 2 -> 6 -> 9 -> 5 [slot=0-0, slots=1] | IP 5->4 maps OPT 5->6: LP#3: 5 -> 7 -> 3 -> 6 [slot=0-0, slots=1]"
2,2042,initial,d1,59,4,1,6,0,4 -> 0 -> 5 -> 1,6 -> 1 -> 5 -> 0,"IP 4->0 maps OPT 6->1: LP#4: 6 -> 2 -> 7 -> 5 -> 1 [slot=1-1, slots=1] | IP 0->5 maps OPT 1->5: LP#5: 1 -> 8 -> 7 -> 3 -> 6 -> 9 -> 5 [slot=1-1, slots=1] | IP 5->1 maps OPT 5->0: LP#6: 5 -> 1 -> 8 -> 7 -> 2 -> 4 -> 0 [slot=2-2, slots=1]"
2,2042,best,d0,49,2,4,4,6,2 -> 3 -> 1 -> 5 -> 4,4 -> 9 -> 0 -> 5 -> 6,"IP 2->3 maps OPT 4->9: LP#0: 4 -> 8 -> 1 -> 5 -> 9 [slot=0-0, slots=1] | IP 3->1 maps OPT 9->0: LP#1: 9 -> 6 -> 2 -> 4 -> 0 [slot=0-0, slots=1] | IP 1->5 maps OPT 0->5: LP#2: 0 -> 4 -> 2 -> 6 -> 9 -> 5 [slot=0-0, slots=1] | IP 5->4 maps OPT 5->6: LP#3: 5 -> 7 -> 3 -> 6 [slot=0-0, slots=1]"
2,2042,best,d1,59,4,1,6,0,4 -> 0 -> 5 -> 1,6 -> 1 -> 5 -> 0,"IP 4->0 maps OPT 6->1: LP#4: 6 -> 2 -> 7 -> 5 -> 1 [slot=1-1, slots=1] | IP 0->5 maps OPT 1->5: LP#5: 1 -> 8 -> 7 -> 3 -> 6 -> 9 -> 5 [slot=1-1, slots=1] | IP 5->1 maps OPT 5->0: LP#6: 5 -> 1 -> 8 -> 7 -> 2 -> 4 -> 0 [slot=2-2, slots=1]"
2,2042,lns,d0,49,2,4,4,6,2 -> 3 -> 4,4 -> 9 -> 6,"IP 2->3 maps OPT 4->9: LP#0: 4 -> 8 -> 1 -> 5 -> 9 [slot=0-0, slots=1] | IP 3->4 maps OPT 9->6: LP#8: 9 -> 6 [slot=1-1, slots=1]"
2,2042,lns,d1,59,4,1,6,0,4 -> 3 -> 1,6 -> 9 -> 0,"IP 4->3 maps OPT 6->9: LP#7: 6 -> 9 [slot=2-2, slots=1] | IP 3->1 maps OPT 9->0: LP#1: 9 -> 6 -> 2 -> 4 -> 0 [slot=0-0, slots=1]"
4,4042,initial,d0,84,4,0,6,1,4 -> 5 -> 0,6 -> 5 -> 1,"IP 4->5 maps OPT 6->5: LP#0: 6 -> 2 -> 7 -> 5 [slot=0-0, slots=1]; LP#1: 6 -> 2 -> 7 -> 5 [slot=1-1, slots=1]; LP#2: 6 -> 3 -> 7 -> 5 [slot=2-2, slots=1] | IP 5->0 maps OPT 5->1: LP#3: 5 -> 7 -> 8 -> 1 [slot=0-0, slots=1]; LP#4: 5 -> 7 -> 8 -> 4 -> 2 -> 6 -> 1 [slot=1-1, slots=1]; LP#5: 5 -> 1 [slot=0-0, slots=1]"
4,4042,initial,d1,43,5,4,5,6,5 -> 0 -> 4,5 -> 1 -> 6,"IP 5->0 maps OPT 5->1: LP#3: 5 -> 7 -> 8 -> 1 [slot=0-0, slots=1]; LP#4: 5 -> 7 -> 8 -> 4 -> 2 -> 6 -> 1 [slot=1-1, slots=1]; LP#5: 5 -> 1 [slot=0-0, slots=1] | IP 0->4 maps OPT 1->6: LP#6: 1 -> 8 -> 4 -> 2 -> 7 -> 3 -> 6 [slot=2-2, slots=1]"
4,4042,initial,d2,92,1,0,0,1,1 -> 3 -> 4 -> 5 -> 0,0 -> 9 -> 6 -> 5 -> 1,"IP 1->3 maps OPT 0->9: LP#7: 0 -> 4 -> 2 -> 7 -> 5 -> 9 [slot=3-3, slots=1]; LP#8: 0 -> 4 -> 8 -> 7 -> 5 -> 9 [slot=4-4, slots=1] | IP 3->4 maps OPT 9->6: LP#9: 9 -> 5 -> 1 -> 6 [slot=1-1, slots=1]; LP#10: 9 -> 5 -> 7 -> 2 -> 4 -> 8 -> 1 -> 6 [slot=2-2, slots=1] | IP 4->5 maps OPT 6->5: LP#0: 6 -> 2 -> 7 -> 5 [slot=0-0, slots=1]; LP#1: 6 -> 2 -> 7 -> 5 [slot=1-1, slots=1]; LP#2: 6 -> 3 -> 7 -> 5 [slot=2-2, slots=1] | IP 5->0 maps OPT 5->1: LP#3: 5 -> 7 -> 8 -> 1 [slot=0-0, slots=1]; LP#4: 5 -> 7 -> 8 -> 4 -> 2 -> 6 -> 1 [slot=1-1, slots=1]; LP#5: 5 -> 1 [slot=0-0, slots=1]"
4,4042,initial,d3,45,5,3,5,9,5 -> 4 -> 3,5 -> 6 -> 9,"IP 5->4 maps OPT 5->6: LP#11: 5 -> 1 -> 8 -> 4 -> 2 -> 6 [slot=4-4, slots=1] | IP 4->3 maps OPT 6->9: LP#12: 6 -> 2 -> 7 -> 8 -> 1 -> 5 -> 9 [slot=5-5, slots=1]"
4,4042,best,d0,84,4,0,6,1,4 -> 5 -> 0,6 -> 5 -> 1,"IP 4->5 maps OPT 6->5: LP#0: 6 -> 2 -> 7 -> 5 [slot=0-0, slots=1]; LP#1: 6 -> 2 -> 7 -> 5 [slot=1-1, slots=1]; LP#2: 6 -> 3 -> 7 -> 5 [slot=2-2, slots=1] | IP 5->0 maps OPT 5->1: LP#3: 5 -> 7 -> 8 -> 1 [slot=0-0, slots=1]; LP#4: 5 -> 7 -> 8 -> 4 -> 2 -> 6 -> 1 [slot=1-1, slots=1]; LP#5: 5 -> 1 [slot=0-0, slots=1]"
