num_demands,seed,k_shortest_initialization,total_bandwidth,initial_cost,best_cost,lns_cost,lns_improvement_percent,lns_gap_vs_sa,initial_runtime_sec,sa_runtime_sec,lns_runtime_sec,total_runtime_sec,lns_speedup_vs_sa,initial_normalized_cost,normalized_cost,lns_normalized_cost,improvement_percent,initial_energy_cost,best_energy_cost,lns_energy_cost,initial_lightpaths,best_lightpaths,lns_lightpaths,initial_constraint_violations,best_constraint_violations,lns_constraint_violations,reconfiguration_distance,lns_reconfiguration_distance,rho_limit,added_lightpaths,removed_lightpaths,total_lightpath_changes,lns_iterations,lns_candidate_moves,lns_accepted_moves,lns_pruned_lightpaths,initial_used_slots,best_used_slots,total_slots,initial_network_load,best_network_load,network_load_reduction_percent,mbb_attempts,mbb_success,feasible,lns_feasible
2,2042,10,108,7.0,7.0,4.0,42.857142857142854,-3.0,0.005799299999921459,22.782024100000058,0.043002100000080645,22.833248499999968,529.7886405537714,0.06481481481481481,0.06481481481481481,0.037037037037037035,0.0,7,7,4,7,7,4,0,0,0,0,7,35,0,0,0,2,22,1,45,32,32,1960,0.0163265306122449,0.0163265306122449,0.0,4332,4332,1,1
4,4042,10,264,13.0,13.0,9.0,30.76923076923077,-4.0,0.013412099999982274,20.707150999999953,0.2529168999999456,20.9762786,81.8733386341696,0.04924242424242424,0.04924242424242424,0.03409090909090909,0.0,13,13,9,13,13,9,0,0,0,0,14,35,0,0,0,2,42,1,118,56,56,1960,0.02857142857142857,0.02857142857142857,0.0,4327,4327,1,1
6,6042,10,315,17.0,8.0,7.0,58.82352941176471,-1.0,0.011320100000034472,21.169565899999952,0.7368698000000222,21.921432600000003,28.729045348308905,0.05396825396825397,0.025396825396825397,0.022222222222222223,52.94117647058824,17,8,7,17,8,7,0,0,0,25,10,35,8,17,25,4,132,3,244,87,35,1960,0.044387755102040814,0.017857142857142856,59.77011494252874,4324,4324,1,1
8,8042,10,569,21.0,15.0,15.0,28.57142857142857,0.0,0.017304400000057285,22.394875800000023,0.46997239999996054,22.887276199999974,47.651470171443904,0.03690685413005272,0.026362038664323375,0.026362038664323375,28.57142857142857,21,15,15,21,15,15,0,0,0,30,10,35,12,18,30,2,56,1,141,96,70,1960,0.04897959183673469,0.03571428571428571,27.083333333333332,4337,4337,1,1
10,10042,10,730,28.0,18.0,15.0,46.42857142857143,-3.0,0.018579799999997704,25.898270700000012,1.381520999999907,27.30477989999997,18.746201252099503,0.038356164383561646,0.024657534246575342,0.02054794520547945,35.714285714285715,28,18,15,28,18,15,0,0,0,34,31,35,12,22,34,4,168,3,362,127,70,1960,0.06479591836734694,0.03571428571428571,44.88188976377953,4302,4302,1,1
12,12042,10,920,44.0,31.0,23.0,47.72727272727273,-8.0,0.03907300000003033,42.23214160000009,2.8269297000000506,45.106757000000016,14.939225973677143,0.04782608695652174,0.03369565217391304,0.025,29.545454545454547,44,31,23,44,31,23,0,0,0,35,33,35,11,24,35,4,199,3,375,207,148,1960,0.10561224489795919,0.07551020408163266,28.502415458937197,4337,4337,1,1
15,15042,10,823,34.0,25.0,22.0,35.294117647058826,-3.0,0.028247899999996662,32.42315539999993,2.184448399999951,34.642737200000056,14.842719745634941,0.041312272174969626,0.030376670716889428,0.026731470230862697,26.47058823529412,34,25,22,34,25,22,0,0,0,33,16,35,12,21,33,4,191,3,257,166,94,1960,0.08469387755102041,0.04795918367346939,43.373493975903614,4289,4289,1,1
18,18042,10,1166,46.0,31.0,27.0,41.30434782608695,-4.0,0.03504320000001826,40.38845219999996,2.524497399999973,42.95876770000007,15.998611129486761,0.03945111492281304,0.026586620926243566,0.023156089193825044,32.608695652173914,46,31,27,46,31,27,0,0,0,35,35,35,10,25,35,3,141,2,340,211,127,1960,0.1076530612244898,0.06479591836734694,39.81042654028436,4333,4333,1,1
20,20042,10,1272,63.0,35.0,34.0,46.03174603174603,-1.0,0.05384309999999459,49.911464799999976,3.9386263999999755,53.91613760000007,12.6723024047166,0.049528301886792456,0.027515723270440252,0.026729559748427674,44.44444444444444,63,35,34,63,35,34,0,0,0,34,35,35,3,31,34,3,148,2,387,300,155,1960,0.15306122448979592,0.07908163265306123,48.333333333333336,4277,4277,1,1
25,25042,10,1608,77.0,48.0,48.0,37.66233766233766,0.0,0.05868159999999989,78.21177149999994,10.66229199999998,88.9494694,7.335361993462578,0.04788557213930348,0.029850746268656716,0.029850746268656716,37.66233766233766,77,48,48,77,48,48,0,0,0,35,35,35,3,32,35,4,197,3,425,370,220,1960,0.18877551020408162,0.11224489795918367,40.54054054054054,4300,4300,1,1
