num_demands,rho_limit,repetitions,total_bandwidth,initial_cost,best_cost,initial_normalized_cost,normalized_cost,improvement_percent,initial_energy_cost,best_energy_cost,initial_lightpaths,best_lightpaths,added_lightpaths,removed_lightpaths,total_lightpath_changes,initial_used_slots,best_used_slots,total_slots,initial_network_load,best_network_load,network_load_reduction_percent,reconfiguration_distance,mbb_attempts,mbb_success,feasible_rate
20,5,1,1145,45.0,40.0,0.039301310043668124,0.034934497816593885,11.11111111111111,45,40,45,40,0,5,5,220,193,1960,0.11224489795918367,0.09846938775510204,12.272727272727272,5,4206,4206,1
20,15,1,1162,43.0,30.0,0.03700516351118761,0.025817555938037865,30.23255813953488,43,30,43,30,1,14,15,193,125,1960,0.09846938775510204,0.06377551020408163,35.233160621761655,15,4282,4282,1
20,25,1,1198,54.0,37.0,0.045075125208681135,0.030884808013355594,31.48148148148148,54,37,54,37,4,21,25,269,176,1960,0.13724489795918368,0.08979591836734693,34.572490706319705,25,4321,4321,1
20,35,1,1045,42.0,27.0,0.04019138755980861,0.02583732057416268,35.714285714285715,42,27,42,27,9,24,33,212,112,1960,0.10816326530612246,0.05714285714285714,47.169811320754725,33,4366,4366,1
40,5,1,2421,83.0,78.0,0.034283353985956215,0.0322180916976456,6.024096385542169,83,78,83,78,0,5,5,393,372,1960,0.20051020408163264,0.18979591836734694,5.3435114503816745,5,4368,4368,1
40,15,1,2318,97.0,82.0,0.04184641932700604,0.03537532355478861,15.463917525773196,97,82,97,82,0,15,15,475,407,1960,0.2423469387755102,0.2076530612244898,14.315789473684209,15,4334,4334,1
40,25,1,2359,83.0,58.0,0.035184400169563375,0.024586689275116574,30.120481927710845,83,58,83,58,0,25,25,380,269,1960,0.19387755102040816,0.13724489795918368,29.210526315789465,25,4317,4317,1
40,35,1,2318,94.0,66.0,0.04055220017256255,0.028472821397756688,29.78723404255319,94,66,94,66,3,31,34,435,294,1960,0.22193877551020408,0.15,32.41379310344828,34,4359,4359,1
60,5,1,3602,136.0,131.0,0.03775680177679067,0.036368684064408664,3.6764705882352944,136,131,136,131,0,5,5,658,629,1960,0.3357142857142857,0.3209183673469388,4.407294832826734,5,4356,4356,1
60,15,1,3531,148.0,133.0,0.04191447182101388,0.037666383460775985,10.135135135135135,148,133,148,133,0,15,15,705,632,1960,0.3596938775510204,0.3224489795918367,10.354609929078014,15,4252,4252,1
60,25,1,3810,156.0,132.0,0.04094488188976378,0.03464566929133858,15.384615384615385,156,132,156,132,0,24,24,750,622,1960,0.3826530612244898,0.3173469387755102,17.06666666666667,24,4361,4361,1
60,35,1,3769,153.0,120.0,0.04059432210135314,0.03183868400106129,21.568627450980394,153,120,153,120,1,34,35,705,542,1960,0.3596938775510204,0.27653061224489794,23.120567375886523,35,4189,4189,1
100,5,1,6205,229.0,224.0,0.03690572119258662,0.036099919419822726,2.1834061135371177,229,224,229,224,0,5,5,1050,1029,1960,0.5357142857142857,0.525,1.9999999999999931,5,4254,4254,1
100,15,1,6049,222.0,207.0,0.03670028103818813,0.034220532319391636,6.756756756756757,222,207,222,207,0,15,15,1028,953,1960,0.5244897959183673,0.48622448979591837,7.2957198443579685,15,4332,4332,1
100,25,1,5841,222.0,197.0,0.03800719054956343,0.033727101523711694,11.26126126126126,222,197,222,197,0,25,25,1050,936,1960,0.5357142857142857,0.4775510204081633,10.857142857142852,25,4358,4358,1
100,35,1,6013,224.0,193.0,0.037252619324796274,0.0320971229003825,13.839285714285715,224,193,224,193,2,33,35,1005,860,1960,0.5127551020408163,0.4387755102040816,14.427860696517413,35,4353,4353,1
