#{"t_start": 1788810937.318332, "env_id": "None"}
r,l,t
-0.537465,24,3.210557
-0.01,1,3.221237
0.345714,24,3.401876
-1.002593,21,3.700267
-1.925714,24,5.144109
-0.185507,24,5.884051
-2.110784,19,6.406442
-1.312542,24,7.310665
1.355,2,7.326235
0.746154,10,7.392847
-1.50931,13,7.513973
-2.089492,24,8.768677
-0.485714,24,9.123094
-1.332473,24,10.27854
-1.573617,24,12.305013
-1.74303,24,12.686992
0.170526,4,12.814154
-1.367273,14,12.924007
-2.62359,24,14.862942
-0.929412,24,16.525946
-0.855172,24,16.8076
0.933333,16,16.933781
-0.286154,24,20.844164
-4.406667,24,20.959502
-2.068571,24,21.31433
-0.12,12,21.433471
-1.59873,24,22.267062
-0.601709,24,24.381418
-0.133608,24,26.350432
-0.523922,24,26.814477
0.93,17,27.111755
0.352727,24,27.514557
-1.301111,24,28.975906
1.741176,24,29.25945
-1.326471,15,29.354381
-0.01,1,29.368539
-1.278974,24,31.155337
0.031667,6,31.524029
-1.571538,11,31.599262
-0.24,24,31.726813
0.246552,21,32.079822
-0.659459,24,33.071074
3.32,20,33.24444
1.61,4,33.339184
0.367042,14,33.767497
-2.537284,24,35.419656
-1.676753,23,36.210826
0.064314,24,36.532115
-2.693333,16,36.629138
-1.989451,24,38.78259
-0.01,1,38.81011
0.607778,20,39.061461
-0.584615,24,39.808801
-0.758182,24,40.274104
-1.2,24,41.349064
-1.025794,24,43.382454
0.50381,2,43.420282
-0.205185,2,43.595454
-0.315,18,43.86711
-0.01,1,43.884408
-0.535385,24,44.764172
-2.16,24,45.020353
0.459718,16,45.389669
-0.657778,13,45.548676
-0.878261,24,46.193125
1.172222,5,46.266106
-0.006154,18,46.415388
-0.306977,24,46.775618
-0.591034,18,46.962871
-2.055652,24,48.127414
0.329831,6,48.303931
1.733333,10,48.445384
-0.972381,2,48.475866
-0.795385,23,49.029397
-0.685098,24,50.335843
-0.02,2,50.360559
-0.459701,16,50.781476
-1.332439,23,53.468891
1.34,6,53.575891
1.551429,2,53.588919
-1.00561,3,53.667682
0.221905,4,53.753527
-0.01,1,53.781485
1.345,3,53.798291
-0.943158,24,55.355532
-0.372381,24,57.172791
0.145,24,58.900773
-0.93,24,62.101394
-0.007742,4,62.16338
0.267407,14,62.296133
-0.01,1,62.315458
-2.877143,2,62.329302
-2.047059,24,65.939061
0.47,3,66.018645
1.127895,3,66.053225
-0.722308,3,66.079216
1.29,7,66.166932
-0.060392,8,66.307021
0.525217,4,66.356414
1.262941,9,66.473659
-1.051176,11,66.543379
-1.334,23,71.082951
2.795,8,71.119807
1.003171,7,71.24199
5.44,6,71.269395
-0.01,1,71.311058
0.56,4,71.351587
-1.183846,3,71.407731
0.826154,2,71.43098
1.100952,20,73.355092
1.08,2,73.383964
0.52,18,73.698804
0.106667,6,73.751659
-0.747317,4,73.843505
2.368261,11,73.939268
1.065283,18,74.254737
2.048776,17,74.64085
0.246897,24,75.389181
-0.101053,24,78.071061
1.28,4,78.127002
-0.474783,4,78.176315
0.151111,24,79.017517
2.681795,19,79.22062
1.087895,7,79.400839
-0.01,1,79.416016
1.334783,10,79.496179
0.77,24,79.679079
0.64875,7,79.865806
0.873077,5,79.932462
-0.01,1,79.962329
0.775,10,80.018955
0.272877,24,80.982144
0.906522,5,81.040088
-0.01,1,81.050265
-0.01,1,81.069383
1.52,24,81.247965
0.24,24,82.69915
2.354444,9,82.771391
1.672308,2,82.792414
1.323607,18,83.352978
-1.328276,24,84.136459
