#{"t_start": 1788820628.1039662, "env_id": "None"}
r,l,t
2.983125,25,3.641706
1.54,20,3.9504
1.960847,9,4.169136
-0.01,1,4.276165
-1.218351,30,6.734235
0.627391,9,7.176414
-0.267619,29,9.214589
1.44,10,9.394284
2.798367,12,9.619215
1.420769,6,9.778234
0.137822,8,10.174183
1.087895,7,10.366725
2.733636,13,10.824238
1.306164,5,11.018397
0.007561,9,11.476346
0.319206,3,11.604641
1.037534,14,12.046947
0.018713,11,12.426384
0.817711,11,12.806495
-0.41,20,15.264533
-0.01,1,15.38649
0.616842,12,15.715799
1.669403,25,16.403313
-0.274729,12,17.196616
0.905745,25,17.562897
0.699091,21,18.474512
-1.850756,32,21.309713
-3.350714,32,23.944626
1.39814,16,24.155009
1.393333,20,24.784824
-4.010909,32,27.564921
0.94,6,27.856778
-4.015,32,31.479911
0.477692,3,31.603248
3.742308,22,32.123109
2.690968,20,32.780207
3.66,14,33.174909
1.7575,19,34.290307
-0.370556,24,35.486686
-0.01,1,35.569888
0.95,5,35.697881
-0.302979,32,36.140291
-1.289888,32,39.305396
0.270811,4,39.485214
1.529756,8,39.634572
-0.193458,10,40.440135
2.653208,22,40.840366
1.142222,8,41.116485
0.522041,8,41.53078
2.067312,18,42.78007
-0.01,1,42.856242
0.130685,2,42.975201
0.528966,4,43.118764
1.133478,18,44.726388
0.058911,5,44.97524
0.243333,9,45.220575
0.448085,2,45.295496
0.14,6,45.47527
0.332881,4,45.605476
-1.545,23,47.14521
1.763077,21,47.640647
-2.328889,32,53.745534
0.454706,6,53.930457
0.138701,20,54.956805
1.506441,24,55.515457
1.916207,17,55.876248
-0.27563,24,57.950893
-1.931667,25,61.350795
0.883333,30,63.335661
-0.315714,3,63.47561
-0.583636,18,64.335884
0.681579,24,65.271087
-0.02,2,65.480913
2.047705,21,66.037596
2.670968,22,66.690887
-0.480847,19,67.565953
0.585,4,67.740705
-0.870526,20,69.186002
2.25,18,69.725973
0.386667,8,69.996052
1.265,11,70.364414
3.358868,18,70.835871
0.306593,10,71.390791
-0.28018,10,71.976214
-0.085752,13,72.758948
1.12661,23,73.306114
0.933333,25,74.140902
-2.313496,32,78.238853
4.03,15,78.511187
-2.387407,32,80.798707
0.730805,18,81.567285
-2.4,32,85.726301
0.774444,20,86.416924
0.616923,6,86.591307
3.538596,18,87.014484
0.974286,14,87.457839
-3.11604,32,90.288391
-0.333115,12,91.146587
-0.184127,32,92.188231
2.026667,14,92.526583
0.46,12,93.272129
0.293333,4,93.419865
1.25037,22,93.837803
-0.097143,32,98.268541
0.770588,31,99.50652
2.83,23,99.898025
0.626327,31,100.499055
-0.01,1,100.63101
1.205932,15,100.966809
1.733279,7,101.16852
-0.07,8,101.531237
-3.960606,30,106.803046
-0.575714,4,107.156893
1.446735,23,107.537118
-0.614321,32,110.677047
0.145,27,113.392433
1.865556,9,113.532439
0.626923,5,113.692286
2.6325,26,114.197313
0.31931,6,114.472015
0.07,4,114.697354
1.143333,21,115.471338
-3.393684,32,118.520142
0.6675,32,122.22744
0.428947,15,123.44755
0.358261,12,124.164959
2.516667,12,124.510047
1.055172,10,124.724045
1.893529,22,125.908963
0.495625,2,126.017602
0.56661,31,126.862473
-0.01,1,126.968525
1.456667,29,127.692699
0.984516,8,128.027398
0.536364,10,128.39733
0.786154,6,128.537438
-0.01,1,128.632471
-0.01,1,128.777754
0.881923,7,129.129386
1.018254,27,129.772552
1.527647,9,130.046533
-1.724536,32,132.734387
0.41,9,133.062864
1.139437,10,133.327489
1.198451,21,133.834374
2.926957,18,134.077896
2.839167,14,134.399869
0.275556,3,134.647813
1.522951,10,134.895442
-0.042963,8,135.24653
0.414536,7,135.577784
0.270968,10,135.787502
1.984615,16,136.213058
0.805,7,136.52263
2.758571,18,136.86886
1.29,19,137.231294
-0.039691,5,137.448027
-0.01,1,137.58776
-0.351111,32,139.758074
-0.071525,8,140.188882
0.129231,4,140.323103
0.491111,12,141.224693
-1.251852,32,142.278
0.586667,8,142.708733
2.281304,11,142.892014
1.612381,9,143.262248
2.014898,23,144.131779
-1.193571,15,145.077914
1.018765,8,145.369608
2.464828,14,145.65802
1.68,7,145.787986
-0.01,1,145.887924
2.568889,12,146.072759
1.158462,13,146.31341
-0.01,1,146.468694
1.447241,7,146.658335
0.348235,4,146.856272
2.535172,12,147.134367
0.633333,10,147.609248
0.917647,32,148.13939
0.438085,3,148.344673
1.068205,6,148.573335
1.556667,11,148.702052
0.23,2,148.862919
2.246667,22,149.247921
1.222632,8,149.508054
-1.873846,32,153.358279
-0.398511,9,153.657953
0.083596,4,153.863682
-0.173333,4,154.019409
-0.411724,13,155.036655
1.663333,7,155.168705
-0.04,4,155.371301
1.791613,16,155.889357
0.04084,6,156.223201
1.680698,11,156.633424
0.379184,8,156.993567
0.724878,8,157.273228
3.303684,17,157.478305
1.659412,12,157.790922
1.960847,9,158.009376
2.221667,7,158.169814
0.308358,2,158.278417
0.274286,4,158.428578
-0.157527,5,158.668248
1.987797,8,158.880419
-0.050291,6,159.190073
2.353571,20,159.728531
0.807925,6,159.880057
2.615574,21,160.408304
0.50069,12,160.68825
0.73764,15,161.128621
1.121935,12,161.408613
0.097021,2,161.578573
2.46,14,161.958661
-0.12011,27,163.303646
0.119655,7,163.453399
-0.106875,6,163.829669
-0.01,1,163.91022
0.509322,5,164.263602
0.184043,5,164.513922
0.186804,4,164.743483
0.856667,6,164.939604
-0.01,1,165.038327
-0.20129,4,165.328511
0.066102,16,166.59836
1.416486,7,166.853811
-0.101481,12,167.333622
1.179016,32,168.120305
-0.231356,11,168.849766
1.306825,9,169.078943
0.02871,6,169.483509
0.867959,3,169.585766
1.823846,8,169.768842
2.13,23,170.608732
0.259474,3,170.791481
0.600377,6,170.950074
0.0,22,173.848648
0.613333,32,175.067337
-0.256916,7,175.363942
1.9,8,175.542202
-0.01,1,175.658911
0.350435,32,178.718981
0.837711,9,179.028845
0.298235,4,179.189114
-0.02,2,179.304044
2.87,13,179.499914
2.788571,14,179.699161
1.869825,6,179.881222
-0.568421,32,180.601269
2.115574,23,181.203095
1.097895,6,181.324903
2.839231,22,181.784132
0.13942,2,181.89894
-0.03,3,182.129059
0.425455,12,183.569291
1.572759,25,184.181927
3.343333,14,184.679242
1.304366,9,184.934366
1.864248,18,186.750401
1.179437,6,186.968909
-2.873043,32,191.819332
1.505135,13,192.23906
-0.425217,18,192.964445
-1.052857,20,196.70358
-0.573805,20,197.969147
1.781538,22,199.729394
-0.213226,6,200.059657
-0.436989,32,203.349572
1.863043,5,203.468693
0.454737,28,203.979354
-0.01,1,204.059298
0.899153,5,204.199577
3.479375,13,204.649559
0.639677,7,204.969699
0.946667,8,205.214577
0.748163,20,206.241022
0.851923,10,206.830279
0.854375,18,207.440011
1.999492,21,208.3826
0.336703,28,212.179796
2.850435,32,212.825914
0.185556,7,213.091044
0.469492,30,214.079691
1.294444,15,214.844728
1.547534,11,215.161349
0.104146,3,215.314962
1.659412,12,215.649748
2.676154,20,216.15377
2.244262,10,216.415151
3.10027,17,216.652423
0.283478,24,220.444264
