#{"t_start": 1788819616.6212828, "env_id": "None"}
r,l,t
-0.777273,5,4.016969
4.080769,15,4.287325
1.924359,5,4.449023
2.198696,19,4.862082
1.191075,11,5.476889
0.303607,24,6.767005
0.260755,6,7.212101
1.107931,3,7.287297
1.350256,6,7.4274
-1.686667,2,7.442587
3.481111,19,7.847407
-0.01,1,7.872819
0.48,2,7.926289
-0.01,1,7.969854
2.858889,3,8.00238
1.261233,17,8.758998
1.672308,2,8.795271
0.9,10,9.207287
1.75,5,9.292739
1.803333,3,9.347486
-0.01,1,9.395153
0.480984,6,9.632326
1.106667,6,9.882398
1.353077,7,10.252259
1.219231,5,10.43719
0.727101,7,10.707291
0.235814,2,10.817087
-0.03,3,10.967045
1.249524,6,11.109365
3.868571,6,11.173118
0.6675,2,11.203776
3.06625,9,11.362652
-0.02,2,11.417306
1.017619,3,11.532083
1.308904,17,12.35241
1.167234,12,12.941186
4.778889,11,13.09722
-0.01,1,13.177262
3.66125,12,13.377478
-0.01,1,13.392588
0.53,2,13.442427
-0.03,3,13.482403
1.305,7,13.762274
1.773333,6,13.877538
0.734648,4,14.109347
-0.01,1,14.157457
-0.01,1,14.370422
-0.01,1,14.430022
0.758305,16,17.34217
1.239231,3,17.422892
1.120213,5,17.603341
-0.01,1,17.651848
-0.01,1,17.699422
1.137895,2,17.74829
0.753659,10,17.980854
-1.311888,32,33.607757
1.224118,7,33.817776
-0.01,1,33.897971
-0.01,1,33.907755
0.561111,5,33.962986
0.796154,5,34.049071
-0.01,1,34.111407
-0.274188,32,39.047766
-0.02,2,39.142913
0.403077,2,39.185339
-0.01,1,39.19916
-0.905926,32,42.27796
-0.01,1,42.298144
1.441525,5,42.463692
0.190233,32,45.14933
0.303333,3,45.21336
2.082857,6,45.278138
0.851831,12,45.933217
0.67,8,46.130357
1.86,14,46.593054
2.423871,6,46.678099
6.061111,5,46.728341
1.783333,5,46.853085
2.7,5,46.901235
-0.03,3,47.003358
-0.02,2,47.084225
-0.01,1,47.106313
-0.01,1,47.123216
1.920408,10,47.318004
2.498462,4,47.383476
0.84,32,48.313478
-0.03,3,48.402719
0.159192,32,51.568555
0.877073,26,53.428458
2.73,2,53.443347
-0.01,1,53.453676
4.530909,6,53.518305
0.53,2,53.590366
1.412308,32,55.473701
2.424444,2,55.495034
-0.166986,3,55.61354
-1.440741,32,59.855241
1.541429,3,59.897346
2.011081,7,60.018607
0.267297,3,60.258635
1.838049,4,60.36007
-0.01,1,60.368679
3.930303,10,60.498394
2.577059,7,60.555479
0.627059,2,60.578427
-0.03,3,60.613455
1.813846,9,60.796414
0.86,2,60.841693
1.355,2,60.85816
2.055238,4,60.958534
0.445294,4,61.103591
-2.52,2,61.1185
1.53963,9,61.343711
4.002632,5,61.39388
1.187143,7,61.633702
6.217097,17,61.798563
0.51,4,61.88392
2.015385,24,62.558641
-0.02,2,62.613615
-0.504463,32,69.778713
1.772105,7,69.843979
3.302963,16,70.172835
-1.68093,32,71.959054
1.986207,10,72.228808
0.356154,32,78.093981
-0.01,1,78.123465
-0.01,1,78.134555
1.36012,21,79.832541
3.852353,3,79.879225
5.461111,17,80.101231
3.802353,8,80.169259
-1.230677,32,88.249306
2.535385,8,88.324277
0.255,2,88.411939
2.893333,4,88.461482
2.35,16,88.999401
-0.214545,32,93.819534
3.34,6,93.859375
3.616667,5,93.895355
1.06,4,93.932943
5.783077,14,93.997172
3.888571,4,94.034308
2.223333,11,94.156563
3.755,13,94.439363
4.41,9,94.62528
1.532308,16,94.774935
3.176957,17,95.189536
1.192727,8,95.243063
0.85,3,95.294667
-0.01,1,95.309654
1.39597,17,96.007037
4.150476,4,96.083801
0.771538,9,96.369452
-1.004103,32,97.849793
2.370247,21,99.041603
4.38,2,99.059546
1.035862,32,100.429816
-0.790189,32,108.00102
3.122857,2,108.024699
-0.873333,4,108.065558
1.192222,3,108.114179
3.663333,7,108.179889
3.868571,6,108.234705
-0.883361,32,114.251447
1.63,2,114.284997
6.165714,12,114.401716
0.892222,8,114.530117
-0.173077,32,118.752154
1.227778,5,118.80516
1.755714,32,119.951479
0.438261,4,120.005313
5.36,14,120.070416
1.6,17,120.335289
4.33,7,120.360333
6.155714,13,120.430165
0.166154,32,120.801825
6.39,21,120.925223
3.342963,12,121.230071
6.46,14,121.314847
2.804737,9,121.460237
-0.796923,32,122.532125
2.373846,32,123.140076
2.931538,3,123.190152
2.73,2,123.202274
4.31,9,123.230047
5.36,14,123.298853
1.394783,4,123.35022
-0.01,1,123.355301
0.3,32,124.130482
2.213878,32,124.601323
2.194921,20,125.235644
-0.06,6,125.260434
4.8875,5,125.305964
0.375385,32,126.181278
1.61,4,126.230559
-0.750909,32,126.784297
3.322222,17,127.010144
4.138065,12,127.145046
-0.121538,32,127.92158
4.743333,15,128.096883
3.035294,20,128.490508
2.726809,28,129.045287
5.11,17,129.180597
2.951111,16,129.265422
5.047826,30,129.446262
-1.96,32,135.424624
4.03,27,135.92073
-0.01,1,135.945619
0.327568,32,137.636311
0.899355,32,139.052562
5.47,3,139.09062
-1.195294,32,141.275757
2.060145,17,141.720674
2.400645,18,141.90116
4.818889,7,141.93695
7.263333,7,141.970622
3.759189,19,142.170561
-1.380435,25,142.358072
6.366667,5,142.391008
1.114366,32,143.862712
1.73,27,144.16577
0.077073,32,146.451377
0.853333,32,147.681105
3.784444,16,147.793745
4.672609,11,148.190698
-1.015455,32,151.550764
-0.319322,32,154.673917
3.075294,16,154.775967
5.593529,23,154.896216
0.428148,32,155.634936
1.774762,13,155.821151
0.31,32,157.792125
3.593043,32,157.981098
-1.053333,32,159.821266
-0.529524,32,164.852062
-1.572459,32,165.715995
-1.712727,32,169.081714
2.223077,26,169.261301
3.068095,17,169.396357
-1.021856,32,171.051443
3.14,21,171.176778
