num_demands,seed,initial_cost_regenerated,ppo_cost,ppo_improvement_percent,ppo_runtime_sec,ppo_accepted_moves,ppo_invalid_moves,ppo_feasible
2,2042,7.0,5.0,28.57142857142857,0.01274939999984781,1,0,1
4,4042,13.0,13.0,0.0,0.013641699999880075,1,0,1
6,6042,17.0,15.0,11.76470588235294,0.02070840000010321,2,0,1
8,8042,21.0,18.0,14.285714285714285,0.03375259999984337,2,0,1
10,10042,28.0,28.0,0.0,0.014609600000085265,0,0,1
12,12042,44.0,41.0,6.8181818181818175,0.050549900000078196,2,0,1
15,15042,34.0,33.0,2.941176470588235,0.025869700000157536,1,0,1
18,18042,46.0,43.0,6.521739130434782,0.11859180000010383,4,0,1
20,20042,63.0,60.0,4.761904761904762,0.0879434000000856,3,0,1
25,25042,77.0,74.0,3.896103896103896,0.08307330000002366,2,0,1
30,30042,72.0,67.0,6.944444444444445,0.08821239999997488,2,0,1
40,40042,96.0,92.0,4.166666666666666,0.14808179999999993,3,0,1
50,50042,129.0,125.0,3.10077519379845,0.19976200000019162,3,0,1
