num_demands,initial,sa,lns,milp_optimum,milp_teacher_ppo,ppo_improvement_percent,ppo_gap_to_milp,ppo_feasible
2,7.0,7.0,4.0,3.9999999999999996,4.0,42.857142857142854,4.440892098500626e-16,1
4,13.0,13.0,9.0,8.0,8.0,38.46153846153847,0.0,1
6,17.0,8.0,7.0,7.0,7.0,58.82352941176471,0.0,1
8,21.0,15.0,15.0,14.999999999999996,16.0,23.809523809523807,1.0000000000000036,1
10,28.0,18.0,15.0,15.0,15.0,46.42857142857143,0.0,1
12,44.0,31.0,23.0,21.0,23.0,47.72727272727273,2.0,1
15,34.0,25.0,22.0,21.0,21.0,38.23529411764706,0.0,1
18,46.0,31.0,27.0,24.0,27.0,41.30434782608695,3.0,1
20,63.0,35.0,34.0,30.0,36.0,42.857142857142854,6.0,1
25,77.0,48.0,48.0,42.0,50.0,35.064935064935064,8.0,1
30,72.0,47.0,47.0,41.0,55.0,23.61111111111111,14.0,1
40,96.0,69.0,65.0,61.0,73.0,23.958333333333336,12.0,1
50,129.0,102.0,96.0,94.0,112.0,13.178294573643413,18.0,1
