num_demands,initial,sa,lns,milp_optimum,milp_teacher_ppo,ppo_improvement_percent,ppo_gap_to_milp,ppo_feasible
2,7.0,7.0,4.0,3.9999999999999996,4.0,42.857142857142854,4.440892098500626e-16,1
4,13.0,13.0,9.0,8.0,9.0,30.76923076923077,1.0,1
6,17.0,8.0,7.0,7.0,7.0,58.82352941176471,0.0,1
8,21.0,15.0,15.0,14.999999999999996,16.0,23.809523809523807,1.0000000000000036,1
10,28.0,18.0,15.0,15.0,15.0,46.42857142857143,0.0,1
12,44.0,31.0,23.0,21.0,26.0,40.909090909090914,5.0,1
15,34.0,25.0,22.0,21.0,23.0,32.35294117647059,2.0,1
18,46.0,31.0,27.0,24.0,25.0,45.65217391304348,1.0,1
20,63.0,35.0,34.0,30.0,34.0,46.03174603174603,4.0,1
25,77.0,48.0,48.0,42.0,46.0,40.25974025974026,4.0,1
30,72.0,47.0,47.0,41.0,48.0,33.33333333333333,7.0,1
40,96.0,69.0,65.0,61.0,63.0,34.375,2.0,1
50,129.0,102.0,96.0,94.0,109.0,15.503875968992247,15.0,1
