num_demands,seed,initial_cost_regenerated,ppo_cost,ppo_improvement_percent,ppo_runtime_sec,ppo_single_rollout_runtime_sec,ppo_total_runtime_sec,ppo_rollouts,ppo_accepted_moves,ppo_invalid_moves,ppo_feasible
2,2042,7.0,4.0,42.857142857142854,0.028867699998954777,0.028867699998954777,0.028867699998954777,1,2,0,1
4,4042,13.0,8.0,38.46153846153847,0.07448199999998906,0.07448199999998906,0.07448199999998906,1,32,0,1
6,6042,17.0,7.0,58.82352941176471,0.09609649999765679,0.09609649999765679,0.09609649999765679,1,32,0,1
8,8042,21.0,17.0,19.047619047619047,0.030109100000117905,0.030109100000117905,0.030109100000117905,1,5,0,1
10,10042,28.0,16.0,42.857142857142854,0.11918729999888455,0.11918729999888455,0.11918729999888455,1,32,0,1
12,12042,44.0,27.0,38.63636363636363,0.5249752999989141,0.5249752999989141,0.5249752999989141,1,9,23,1
15,15042,34.0,21.0,38.23529411764706,0.08637340000132099,0.08637340000132099,0.08637340000132099,1,11,0,1
18,18042,46.0,30.0,34.78260869565217,0.16807260000132374,0.16807260000132374,0.16807260000132374,1,13,0,1
20,20042,63.0,40.0,36.507936507936506,0.7174656999995932,0.7174656999995932,0.7174656999995932,1,16,16,1
25,25042,77.0,66.0,14.285714285714285,0.14701860000059241,0.14701860000059241,0.14701860000059241,1,7,0,1
30,30042,72.0,71.0,1.3888888888888888,0.06027589999939664,0.06027589999939664,0.06027589999939664,1,3,0,1
40,40042,96.0,95.0,1.0416666666666665,0.09212470000056783,0.09212470000056783,0.09212470000056783,1,3,0,1
50,50042,129.0,129.0,0.0,4.7834522999983164,4.7834522999983164,4.7834522999983164,1,6,26,1
