num_demands,seed,initial_cost_regenerated,ppo_cost,ppo_improvement_percent,ppo_runtime_sec,ppo_single_rollout_runtime_sec,ppo_total_runtime_sec,ppo_rollouts,ppo_accepted_moves,ppo_invalid_moves,ppo_feasible
2,2042,7.0,4.0,42.857142857142854,0.06257089999780874,0.06257089999780874,0.06257089999780874,1,2,0,1
4,4042,13.0,9.0,30.76923076923077,0.03521570000157226,0.03521570000157226,0.03521570000157226,1,2,0,1
6,6042,17.0,7.0,58.82352941176471,0.0688603000016883,0.0688603000016883,0.0688603000016883,1,6,0,1
8,8042,21.0,17.0,19.047619047619047,0.03522730000258889,0.03522730000258889,0.03522730000258889,1,2,0,1
10,10042,28.0,16.0,42.857142857142854,0.09529870000187657,0.09529870000187657,0.09529870000187657,1,6,0,1
12,12042,44.0,24.0,45.45454545454545,0.20330159999866737,0.20330159999866737,0.20330159999866737,1,8,0,1
15,15042,34.0,33.0,2.941176470588235,0.04309269999794196,0.04309269999794196,0.04309269999794196,1,1,0,1
18,18042,46.0,36.0,21.73913043478261,0.13468140000259154,0.13468140000259154,0.13468140000259154,1,6,0,1
20,20042,63.0,38.0,39.682539682539684,0.3422543000015139,0.3422543000015139,0.3422543000015139,1,14,0,1
25,25042,77.0,60.0,22.07792207792208,0.2630704999974114,0.2630704999974114,0.2630704999974114,1,7,0,1
30,30042,72.0,65.0,9.722222222222223,0.252176199999667,0.252176199999667,0.252176199999667,1,6,0,1
40,40042,96.0,75.0,21.875,0.6399151000005077,0.6399151000005077,0.6399151000005077,1,13,0,1
50,50042,129.0,129.0,0.0,0.10701279999921098,0.10701279999921098,0.10701279999921098,1,0,0,1
