num_demands,seed,initial_cost_regenerated,ppo_cost,ppo_improvement_percent,ppo_runtime_sec,ppo_accepted_moves,ppo_invalid_moves,ppo_feasible
2,2042,7.0,4.0,42.857142857142854,0.030110353124968015,2,0,1
4,4042,13.0,8.0,38.46153846153847,0.06326312812510082,32,0,1
6,6042,17.0,7.0,58.82352941176471,0.06325519531253576,32,0,1
8,8042,21.0,16.0,23.809523809523807,0.07328047187513675,19,0,1
10,10042,28.0,15.0,46.42857142857143,0.13494610937488005,11,0,1
12,12042,44.0,23.0,47.72727272727273,0.3035401750000801,18,14,1
15,15042,34.0,21.0,38.23529411764706,0.15874990312505588,11,0,1
18,18042,46.0,27.0,41.30434782608695,0.24167097968745566,21,1,1
20,20042,63.0,36.0,42.857142857142854,0.7035729640626016,24,8,1
25,25042,77.0,50.0,35.064935064935064,0.8254135875000372,20,12,1
30,30042,72.0,55.0,23.61111111111111,0.31975655156253424,14,2,1
40,40042,96.0,73.0,23.958333333333336,1.004129799999987,17,15,1
50,50042,129.0,112.0,13.178294573643413,3.2291603093749472,22,10,1
