num_demands,seed,initial_cost_regenerated,ppo_cost,ppo_improvement_percent,ppo_runtime_sec,ppo_accepted_moves,ppo_invalid_moves,ppo_feasible
2,2042,7.0,4.0,42.857142857142854,0.0273418437499231,2,0,1
4,4042,13.0,8.0,38.46153846153847,0.05640693750012815,32,0,1
6,6042,17.0,7.0,58.82352941176471,0.07035983124978884,6,0,1
8,8042,21.0,16.0,23.809523809523807,0.06225125625007877,22,0,1
10,10042,28.0,15.0,46.42857142857143,0.0915211812501866,20,3,1
12,12042,44.0,25.0,43.18181818181818,0.3429625999998507,12,5,1
15,15042,34.0,21.0,38.23529411764706,0.12790454375033278,11,0,1
18,18042,46.0,29.0,36.95652173913043,0.24348840624986678,12,7,1
20,20042,63.0,40.0,36.507936507936506,0.48841983750003237,18,1,1
25,25042,77.0,52.0,32.467532467532465,1.0504974625004024,19,13,1
30,30042,72.0,53.0,26.38888888888889,0.29346431249985017,16,1,1
40,40042,96.0,77.0,19.791666666666664,0.7392970812501289,21,9,1
50,50042,129.0,108.0,16.27906976744186,0.6579324749997113,20,10,1
